region,Year,longitude,latitude,Population growth (annual %),"Population, total","Current account balance, Percent of GDP, ","Employment, Persons, Millions","General government gross debt, Percent of GDP, ","General government net debt, National currency, Billions","General government net debt, Percent of GDP, ","General government net lending/borrowing, Percent of GDP, ","General government revenue, Percent of GDP, ","General government structural balance, National currency, Billions","General government structural balance, Percent of potential GDP, ","General government total expenditure, Percent of GDP, ","Gross domestic product per capita, constant prices, National currency, Units","Gross domestic product per capita, constant prices, Purchasing power parity; 2017 international dollar, Units","Gross domestic product per capita, current prices, Purchasing power parity; international dollars, Units","Gross domestic product per capita, current prices, U.S. dollars, Units","Gross domestic product, current prices, Purchasing power parity; international dollars, Billions","Gross domestic product, current prices, U.S. dollars, Billions","Gross national savings, Percent of GDP, ","Population, Persons, Millions","Six-month London interbank offered rate (LIBOR), Percent, ","Total investment, Percent of GDP, ","Unemployment rate, Percent of total labor force, ",GDP per capita growth rate,Investment growth rate
South Asia,2006.0,79.7386875,22.968335,1.745,192951337.0,-1.1625000000000003,,55.53625,4001.94,48.71,-2.70625,19.57375,-2772.31,-6.51,22.2775,75875.05500000001,5400.981249999999,4281.209999999999,1377.2175,574.97,151.11749999999995,28.745,192.255,,29.835,5.333333333333333,0.11969575722772219,-0.04550907782132285
South Asia,2007.0,79.7386875,22.968335,1.6124999999999998,196000394.875,6.13,,51.6975,4344.96,47.02,-2.77625,20.13125,-2449.63,-5.03,22.91,80680.85250000001,5746.77,4677.07375,1603.52375,643.2825,191.19125,37.48,195.2,,32.055,5.033333333333334,0.06402331983655785,0.07440925087983907
South Asia,2008.0,79.7386875,22.968335,1.54625,199001352.375,-2.2075,,50.875,5651.41,53.13,-5.3812500000000005,18.87125,-4918.56,-8.61,24.25125,84991.30375,6093.9675,5046.175000000001,1890.99125,683.35625,194.805,26.92375,198.52125000000004,,28.415,5.016666666666667,0.0604161120072666,-0.1135548276399938
South Asia,2009.0,79.7386875,22.968335,1.56375,201951274.75,2.8650000000000007,,51.67125,7220.71,54.7,-5.51375,19.00375,-6092.75,-9.33,24.51625,85979.29,6030.03875,5049.10375,1919.3075,738.1474999999998,213.94374999999997,32.53375,201.41875,,30.29125,5.12,-0.010490497364812001,0.06603026570473358
South Asia,2010.0,79.7386875,22.968335,1.6324999999999998,204849116.75,-0.8937499999999998,,48.66125,8428.01,56.69,-3.7075,20.3725,-6908.26,-9.01,24.08,91430.74875,6389.19375,5411.58375,2161.56,814.07625,261.56375,30.92,204.2675,,31.6475,4.616666666666666,0.059560977116440705,0.0447736557586762
South Asia,2011.0,79.7386875,22.968335,1.69875,207691801.5,-4.084999999999999,,49.39250000000001,10220.27,55.92,-4.37125,19.34625,-7405.26,-8.54,23.715,97387.92375,6791.39,5867.8812499999985,2327.9887500000004,883.69875,283.9337500000001,29.98,207.0675,,33.1725,4.383333333333334,0.06294945273807051,0.048187060589304
South Asia,2012.0,79.7386875,22.968335,1.6700000000000002,210468391.25,-3.245,,51.80125,11907.57,59.4,-4.3675000000000015,19.8625,-7342.44,-7.31,24.2275,102965.87625,7064.0075000000015,6326.311250000002,2446.74875,964.9487499999997,287.035,30.401250000000005,209.815,,33.75125,4.016666666666667,0.040141635217533,0.017446680232120038
South Asia,2013.0,79.7386875,22.968335,1.77375,213221506.25,-3.73125,,54.5925,13592.49,60.72,-4.128749999999998,19.275,-7529.25,-6.58,23.40375,106481.6125,7340.402499999998,6745.619999999999,2625.88375,1016.70125,294.52625,27.8275,212.53125,,30.93125,4.426666666666667,0.03912722346345143,-0.08355246101996228
South Asia,2014.0,79.7386875,22.968335,1.80375,215955120.875,-2.995,,53.57875,14620.41,58.09,-3.19625,20.242500000000003,-8479.89,-6.69,23.43875,110929.69125,7662.8687500000015,7234.2625,2812.815,1068.57,322.6725,27.328750000000007,215.18625,,29.83625,4.3,0.04393032262195473,-0.035401091129521056
South Asia,2015.0,79.7386875,22.968335,1.8025,218677133.5,-3.65,,53.87,15982.83,58.24,-3.89375,19.9375,-9748.75,-7.03,23.83125,114818.4975,7897.13,7667.280000000002,3006.115,1128.37875,337.14625,26.53,217.83375,,29.965000000000003,4.366666666666667,0.03057095947258648,0.004315220578993806
South Asia,2016.0,79.7386875,22.968335,1.83625,221395899.25,-5.1412499999999985,,57.49875,17815.08,61.27,-3.68625,21.191250000000004,-11230.14,-7.37,24.8775,119401.78125,8240.38125,8109.626250000001,3118.28,1212.3675000000005,365.1925,24.4225,220.47125,,29.0975,4.153333333333333,0.043465315880579336,-0.028950442182546388
