region,Year,longitude,latitude,Population growth (annual %),"Population, total","Current account balance, Percent of GDP, ","Employment, Persons, Millions","General government gross debt, Percent of GDP, ","General government net debt, National currency, Billions","General government net debt, Percent of GDP, ","General government net lending/borrowing, Percent of GDP, ","General government revenue, Percent of GDP, ","General government structural balance, National currency, Billions","General government structural balance, Percent of potential GDP, ","General government total expenditure, Percent of GDP, ","Gross domestic product per capita, constant prices, National currency, Units","Gross domestic product per capita, constant prices, Purchasing power parity; 2017 international dollar, Units","Gross domestic product per capita, current prices, Purchasing power parity; international dollars, Units","Gross domestic product per capita, current prices, U.S. dollars, Units","Gross domestic product, current prices, Purchasing power parity; international dollars, Billions","Gross domestic product, current prices, U.S. dollars, Billions","Gross national savings, Percent of GDP, ","Population, Persons, Millions","Six-month London interbank offered rate (LIBOR), Percent, ","Total investment, Percent of GDP, ","Unemployment rate, Percent of total labor force, "
East Asia & Pacific,1994.0,102.0805036216216,4.3911238459459465,1.7143243243243245,51304930.83783784,0.43999999999999984,16.408333333333335,39.7925,38104.314999999995,37.9875,-2.1476470588235292,28.151176470588233,-2882.525,-0.282,30.3,2635217.532727273,15133.38545454546,10911.529999999997,7460.041363636364,336.7313043478261,308.9482608695652,27.22733333333333,83.30454545454546,2.36,27.776249999999997,5.364166666666667
East Asia & Pacific,1995.0,102.0805036216216,4.3911238459459465,1.6570270270270266,51923605.89189189,-2.1308695652173912,16.589999999999996,39.10214285714285,48545.79000000001,37.6475,-1.523,29.259000000000004,-1516.4211111111108,0.2822222222222222,30.7815,2687882.44826087,15051.468260869564,11067.658695652175,8031.049565217393,350.8433333333334,336.09,24.494666666666667,80.63347826086955,1.26,29.319411764705883,5.066666666666667
East Asia & Pacific,1996.0,102.0805036216216,4.3911238459459465,1.6978378378378378,52533038.51351351,-2.8173913043478254,16.783333333333335,35.39125,55037.605,36.3825,-1.6228571428571423,27.47285714285714,-2031.8611111111106,-0.04666666666666666,29.096190476190475,2853474.994347826,15445.528695652172,11552.898260869564,8263.797391304348,379.85833333333335,323.88208333333336,25.29866666666667,81.62,0.71,29.885294117647064,4.448333333333333
East Asia & Pacific,1997.0,102.0805036216216,4.3911238459459465,1.5140540540540537,53127443.54054054,-1.6267999999999996,17.00833333333333,36.26705882352942,61104.455,36.949999999999996,0.30454545454545445,29.877272727272736,-1070.001,0.08199999999999993,29.57318181818182,2856403.1604166664,15114.897083333335,11465.896666666662,7868.247083333333,387.92359999999985,295.53760000000005,26.715333333333334,79.07291666666664,0.65,29.19470588235294,4.507499999999999
East Asia & Pacific,1998.0,102.0805036216216,4.3911238459459465,1.4418918918918922,53699235.5945946,0.5907692307692304,16.75,47.8678947368421,73025.7025,33.75,-1.6679166666666667,28.71916666666667,-1514.359090909091,-0.9690000000000001,30.384583333333335,2521069.0457692305,13723.493076923078,10507.97076923077,6219.110384615384,377.6738461538461,252.82461538461536,23.289374999999996,75.4580769230769,0.71,24.706111111111113,5.5825
East Asia & Pacific,1999.0,102.0805036216216,4.3911238459459465,1.304324324324324,54233577.91891892,0.1765384615384618,16.75,45.6405,83636.85,33.3075,-1.9171999999999998,27.48120000000001,-2908.1845454545455,-1.9010000000000002,29.3992,2615700.3942307704,14096.43192307692,10935.813461538462,6609.703076923078,398.655,284.6511538461538,23.076874999999998,73.3874074074074,0.24,22.87111111111111,5.718333333333333
East Asia & Pacific,2000.0,102.0805036216216,4.3911238459459465,1.2862162162162163,54742367.2972973,-1.244285714285714,16.94333333333333,47.5609090909091,89162.94249999999,35.0175,-1.7229629629629637,30.51214285714285,-2023.7872727272731,-1.7770000000000004,29.322222222222223,2558059.75,14035.875714285712,11073.692142857139,6762.080714285715,386.6103448275864,274.196551724138,23.526874999999997,71.35357142857143,0.32,26.0135,5.385000000000001
East Asia & Pacific,2001.0,102.0805036216216,4.3911238459459465,1.2748648648648653,55231690.27027027,-3.5782758620689648,14.607142857142856,48.951153846153844,98109.9775,34.465,-2.3148275862068965,29.842068965517235,-2449.141818181818,-1.9439999999999997,32.156551724137934,2568156.0227586213,15396.467586206898,12218.167586206891,6667.850344827585,398.02099999999996,247.5296666666667,23.255000000000003,69.5248275862069,0.15,24.114761904761906,5.535714285714286
East Asia & Pacific,2002.0,102.0805036216216,4.3911238459459465,1.2043243243243242,55695368.216216214,0.328333333333333,14.602857142857143,47.09692307692308,110407.12,37.1625,-1.9775862068965517,29.66448275862069,-2491.522727272727,-2.218,31.642068965517243,2604421.4060000004,15447.666666666673,12428.929,6735.789000000002,424.92199999999997,252.54833333333335,23.246874999999996,67.77300000000001,0.09,24.280952380952378,5.728571428571428
East Asia & Pacific,2003.0,102.0805036216216,4.3911238459459465,1.0751351351351353,56136437.45945946,-0.010000000000000201,14.61,45.672592592592586,105976.06166666666,38.33,-0.8451724137931034,29.488275862068964,-4231.096363636364,-1.5489999999999997,30.333103448275857,2711939.066666667,15984.277666666663,13086.541000000001,7447.780333333332,457.4926666666665,279.82966666666664,26.09625,68.30366666666666,0.07,24.121818181818185,5.797142857142858
