region,Year,longitude,latitude,Population growth (annual %),"Population, total","Current account balance, Percent of GDP, ","Employment, Persons, Millions","General government gross debt, Percent of GDP, ","General government net debt, National currency, Billions","General government net debt, Percent of GDP, ","General government net lending/borrowing, Percent of GDP, ","General government revenue, Percent of GDP, ","General government structural balance, National currency, Billions","General government structural balance, Percent of potential GDP, ","General government total expenditure, Percent of GDP, ","Gross domestic product per capita, constant prices, National currency, Units","Gross domestic product per capita, constant prices, Purchasing power parity; 2017 international dollar, Units","Gross domestic product per capita, current prices, Purchasing power parity; international dollars, Units","Gross domestic product per capita, current prices, U.S. dollars, Units","Gross domestic product, current prices, Purchasing power parity; international dollars, Billions","Gross domestic product, current prices, U.S. dollars, Billions","Gross national savings, Percent of GDP, ","Population, Persons, Millions","Six-month London interbank offered rate (LIBOR), Percent, ","Total investment, Percent of GDP, ","Unemployment rate, Percent of total labor force, "
Europe & Central Asia,1996.0,19.67987364285714,48.05946785714285,0.20120689655172416,14773394.637931034,-3.3224444444444448,7.027083333333334,55.877142857142864,313.0123529411764,39.19,-3.464411764705882,38.40243243243244,-22.423636363636366,-3.135454545454545,43.15705882352943,234718.3897826087,21786.49108695652,14217.164130434778,12868.15369565217,272.0473913043478,241.7458695652173,17.036818181818187,18.348260869565216,,21.935116279069767,10.944500000000001
Europe & Central Asia,1997.0,19.67987364285714,48.05946785714285,0.24068965517241378,14795943.74137931,-3.4693333333333336,7.062500000000001,52.860606060606074,328.6694117647059,38.64588235294118,-2.7921621621621617,37.395999999999994,-17.03608695652174,-2.5278260869565217,41.31189189189188,242318.00872340426,22275.94404255319,14983.085217391303,11961.361276595746,278.4897872340425,229.79195652173922,18.055555555555557,18.147234042553194,,22.464772727272727,10.209268292682928
Europe & Central Asia,1998.0,19.67987364285714,48.05946785714285,0.16120689655172415,14815478.5,-5.001956521739131,7.168749999999999,55.281282051282055,278.43181818181813,40.90954545454545,-2.4692857142857148,37.437111111111115,-15.649565217391302,-2.1747826086956525,40.63214285714284,251151.45170212767,23060.276595744686,15685.446086956525,12348.752978723407,287.6034042553192,233.94391304347823,17.301956521739132,18.167872340425536,,23.30022222222222,9.992439024390247
Europe & Central Asia,1999.0,19.67987364285714,48.05946785714285,0.1282758620689655,14833090.086206896,-2.510869565217391,7.036400000000001,53.82824999999998,248.82,38.0152,-2.143095238095238,37.264222222222216,-16.557916666666667,-1.7008333333333334,40.06857142857143,258021.75446808504,23769.499999999996,16419.179347826084,12468.981702127658,300.2765957446809,231.37847826086957,18.193260869565222,18.19191489361702,,22.069777777777784,10.193255813953488
Europe & Central Asia,2000.0,19.67987364285714,48.05946785714285,0.2706896551724137,14849630.137931034,-1.247234042553191,7.147600000000001,55.09688888888889,233.14586206896556,39.476896551724145,-1.4593181818181813,36.93234042553192,-13.38566666666666,-1.2334482758620688,38.99613636363636,264460.4168749999,24578.321458333332,17107.956041666668,11677.014583333337,309.2338775510204,209.470625,19.475652173913037,17.840416666666666,,23.051086956521733,9.997954545454546
Europe & Central Asia,2001.0,19.67987364285714,48.05946785714285,0.2537931034482759,14868067.931034483,-1.7110416666666666,7.2463999999999995,51.459333333333355,243.33344827586208,35.645172413793105,-1.3306666666666669,36.86148936170213,-18.95566666666667,-1.3075862068965516,38.88111111111111,273914.5466666667,25196.106249999993,17924.97458333333,11763.123958333335,323.8361224489796,211.39458333333332,19.359787234042557,17.864375000000003,,23.23282608695653,10.152391304347827
Europe & Central Asia,2002.0,19.67987364285714,48.05946785714285,0.3560344827586207,14895462.75862069,-1.6379166666666674,7.295200000000001,49.585319148936165,243.87250000000003,31.060937500000005,-2.0538297872340427,36.89041666666667,-54.336060606060634,-1.8781249999999996,39.373191489361716,282312.184375,25773.356249999997,18628.83729166667,12984.587708333333,336.0404081632653,231.62874999999997,20.630212765957452,17.89354166666667,,23.061086956521738,10.29608695652174
Europe & Central Asia,2003.0,19.67987364285714,48.05946785714285,0.5541379310344826,14934753.27586207,-2.1850000000000005,7.320799999999999,46.82659574468084,257.5646875,30.598124999999996,-2.0993617021276596,36.86708333333333,-45.247941176470604,-1.7899999999999998,39.427234042553195,292403.3970833332,26358.79604166666,19409.325208333335,15884.090000000004,350.8675510204082,281.649375,21.324255319148936,17.936874999999997,,23.814347826086966,10.215652173913044
Europe & Central Asia,2004.0,19.67987364285714,48.05946785714285,0.2718965517241379,14979450.965517242,-2.265625,7.366000000000001,42.50979591836736,261.6528125,29.528124999999996,-1.4029166666666664,36.624693877551024,-26.846944444444432,-1.8428571428571425,38.46958333333334,310452.2991666667,27393.130208333332,20718.93354166666,18437.671041666665,374.4,321.6591836734694,22.272340425531915,17.990000000000006,,25.67553191489361,10.206739130434785
Europe & Central Asia,2005.0,19.67987364285714,48.05946785714285,0.42103448275862076,15025114.344827587,-2.4508333333333336,7.465200000000001,40.06489795918368,632.4954545454548,28.547272727272734,-0.5344897959183672,37.46999999999999,-8.011081081081068,-0.9772972972972976,38.00551020408164,327687.2554166667,28355.521041666678,22125.406249999996,19815.107291666667,398.97204081632646,342.6975510204082,22.570851063829785,18.04895833333333,,26.135957446808508,9.884347826086954
Europe & Central Asia,2006.0,19.67987364285714,48.05946785714285,0.4475862068965518,15071675.879310345,-3.3312500000000003,7.5952,37.30755102040816,656.6663636363638,25.605757575757575,0.3595918367346938,38.08918367346938,-7.179999999999994,-1.3724324324324324,37.729795918367344,344913.44,29624.310624999987,23823.66291666667,21450.021666666667,429.9285714285713,371.3955102040816,22.9368085106383,18.10666666666667,,27.531914893617007,9.165652173913044
Europe & Central Asia,2007.0,19.67987364285714,48.05946785714285,0.4693103448275862,15125873.655172413,-5.382083333333333,7.7296000000000005,34.654897959183664,664.7221212121214,23.240909090909092,0.6126530612244896,38.57551020408163,-0.796216216216212,-1.9083783783783788,37.96408163265308,358202.5240816328,32195.385306122447,26622.40632653061,26171.528979591836,460.64367346938786,434.3853061224489,22.166382978723398,17.80673469387755,,28.084468085106383,8.37304347826087
Europe & Central Asia,2008.0,19.67987364285714,48.05946785714285,0.47620689655172416,15186709.0,-6.042083333333335,7.814000000000001,37.45816326530611,716.3642424242423,25.991818181818182,-0.8879591836734696,39.030408163265314,-24.867567567567573,-3.618918918918919,39.91877551020408,368372.09632653074,32391.321836734693,27317.617959183677,28577.894693877537,477.154693877551,478.37489795918367,21.09404255319149,17.881224489795926,,27.691276595744682,7.761304347826086
Europe & Central Asia,2009.0,19.67987364285714,48.05946785714285,0.44620689655172424,15249471.98275862,-2.966458333333333,7.660799999999999,45.162857142857135,834.787575757576,32.17090909090909,-4.686122448979593,38.05122448979592,-112.70135135135135,-4.4029729729729725,42.736122448979586,356718.31857142865,30597.37510204081,26024.875510204074,25012.594897959174,458.55510204081634,419.76265306122446,19.59638297872341,17.95489795918368,,22.113404255319153,9.814565217391303
Europe & Central Asia,2010.0,19.67987364285714,48.05946785714285,0.36000000000000004,15309083.103448275,-1.9833333333333332,7.630800000000001,48.839999999999996,895.5766666666667,36.83878787878789,-4.244693877551022,37.752244897959194,-83.385,-3.913947368421053,41.99632653061224,363798.5702040816,30989.97183673469,26668.91734693878,25154.151836734694,477.32408163265313,429.72897959183666,20.33659574468085,18.02081632653061,,22.016808510638292,10.656086956521738
Europe & Central Asia,2011.0,19.67987364285714,48.05946785714285,0.2972413793103448,15347632.862068966,-1.7835416666666672,7.6656,51.58836734693878,898.2729411764705,40.13588235294119,-2.708775510204081,37.83612244897961,7.239999999999991,-2.966052631578948,40.543469387755096,373816.0993877552,31381.953265306125,27571.934693877556,27555.368775510193,501.7444897959183,473.8863265306124,21.0463829787234,18.102448979591838,,22.5736170212766,10.549782608695654
Europe & Central Asia,2012.0,19.67987364285714,48.05946785714285,0.3113793103448276,15410149.0,-1.4604166666666671,7.653599999999999,54.00040816326531,886.1676470588235,42.94529411764706,-2.263265306122449,38.532244897959174,14.995263157894748,-1.8534210526315789,40.79510204081633,382599.5971428571,31197.077959183676,28164.590408163265,26054.837346938777,517.6481632653062,456.3524489795918,20.951914893617012,18.1734693877551,,22.188297872340435,11.070666666666671
Europe & Central Asia,2013.0,19.67987364285714,48.05946785714285,0.32689655172413795,15483800.27586207,-0.4506249999999999,7.6412,56.31061224489797,893.7652941176468,44.663529411764706,-2.386122448979592,38.482653061224504,-10.990263157894736,-1.7378947368421052,40.86836734693878,395917.33918367344,31429.45102040816,29285.115918367344,27193.22244897959,543.9069387755103,477.0359183673468,21.34765957446809,18.246122448979587,,21.497234042553195,11.22311111111111
Europe & Central Asia,2014.0,19.67987364285714,48.05946785714285,0.3393103448275862,15558738.206896551,-0.3858333333333334,7.712000000000001,58.28489795918367,913.6826470588235,45.14205882352941,-1.8267346938775515,38.65428571428572,-16.770769230769236,-1.353076923076923,40.479795918367344,408441.97959183675,31960.831020408157,30169.676734693876,27655.040000000008,560.1922448979592,483.69897959183675,21.744255319148937,18.322448979591837,,21.79553191489362,10.748222222222223
Europe & Central Asia,2015.0,19.67987364285714,48.05946785714285,0.32637931034482753,15632886.48275862,-0.5370833333333334,7.807200000000002,58.98959183673471,826.0282352941175,44.17235294117648,-2.0346938775510206,38.18551020408164,-158.4269230769231,-1.2007692307692308,40.219387755102055,423754.3469387755,32836.171224489786,31054.874285714286,24094.66000000001,570.5528571428571,416.3583673469387,22.044255319148935,18.405510204081633,,21.91829787234043,10.150222222222222
Europe & Central Asia,2016.0,19.67987364285714,48.05946785714285,0.3501724137931035,15705254.448275862,-0.9029166666666667,7.936,58.53714285714287,873.0844117647059,43.491176470588236,-1.2865306122448976,38.057959183673475,-148.80564102564102,-0.9741025641025644,39.344693877551016,437367.56326530623,33499.80489795919,32647.244285714285,24427.0687755102,599.508163265306,415.48285714285714,22.07808510638298,18.48489795918367,,22.25212765957447,9.342666666666666
Europe & Central Asia,2017.0,19.67987364285714,48.05946785714285,0.36103448275862066,15768714.844827587,-0.11469387755102037,8.044800000000002,57.7677551020408,967.0147058823527,41.77029411764705,-0.9285714285714287,37.830408163265304,-121.5112820512821,-0.8169230769230771,38.75795918367348,451623.7373469387,34445.604897959194,34445.604897959194,25988.332040816327,635.5434693877551,440.0434693877553,23.36574468085106,18.548571428571428,,23.022553191489365,8.478444444444444
Europe & Central Asia,2018.0,19.67987364285714,48.05946785714285,0.3532758620689655,15826252.043103449,-0.28551020408163263,8.152399999999998,56.01755102040816,979.4594117647057,39.33970588235296,-0.18265306122448974,38.30673469387755,69.81333333333332,-0.4817948717948718,38.48959183673468,466334.12163265306,35355.87714285714,36204.7618367347,28050.758571428567,666.1218367346939,471.25571428571425,23.23595744680851,18.607346938775514,,23.394255319148936,7.572666666666665
Europe & Central Asia,2019.0,19.67987364285714,48.05946785714285,0.36775862068965515,15881725.72413793,-0.2646938775510204,8.245199999999997,54.926734693877556,999.6236363636363,36.54666666666666,-0.2440816326530612,38.401428571428575,-25.658974358974366,-0.8594871794871796,38.64530612244898,480132.7675510205,36059.727959183685,37584.7142857143,27506.00530612245,689.4391836734694,464.2906122448978,23.185531914893616,18.665714285714287,,23.325106382978714,7.024
Europe & Central Asia,2020.0,19.67987364285714,48.05946785714285,,16196789.47368421,-1.5806122448979587,8.110799999999998,66.34571428571428,1332.2168750000005,46.705000000000005,-7.469999999999997,36.889387755102035,-327.3351282051282,-4.716410256410258,44.35959183673468,458093.0124489795,33678.660204081636,35598.50816326532,26067.04755102041,650.8926530612246,437.4242857142856,20.946382978723395,18.73,,22.206170212765958,8.749545454545453
Europe & Central Asia,2021.0,19.67987364285714,48.05946785714285,,16226105.263157895,-1.3861224489795922,8.1128,66.01673469387755,1513.3778125000006,47.55875,-4.075306122448979,37.695918367346934,-200.78461538461534,-3.124615384615385,41.77163265306124,473599.6914285714,35118.0081632653,37939.9781632653,29252.239591836733,696.5175510204082,491.36142857142863,21.70276595744681,18.78612244897959,,22.84574468085107,8.25
Europe & Central Asia,2022.0,19.67987364285714,48.05946785714285,,16247982.45614035,-1.1822448979591837,,64.95244897959184,1636.6668750000001,47.3571875,-2.661632653061224,38.13979591836735,-133.9184615384615,-2.3533333333333335,40.80081632653061,490718.9981632653,36193.964693877555,39798.029183673476,30832.672857142858,731.9663265306123,519.899387755102,22.41021276595745,18.84367346938776,,23.35106382978724,7.568863636363637
Europe & Central Asia,2023.0,19.67987364285714,48.05946785714285,,16264473.684210526,-1.0348979591836736,,64.00653061224489,1729.9068750000001,46.94468750000001,-2.066938775510204,38.143061224489784,-128.2684615384615,-2.0476923076923073,40.20918367346939,506317.7451020409,37078.171020408154,41509.16387755103,32210.064081632652,764.2059183673466,544.6479591836736,22.872978723404245,18.897959183673468,,23.622553191489366,7.163409090909091
Europe & Central Asia,2024.0,19.67987364285714,48.05946785714285,,16277701.754385965,-0.919183673469387,,63.067551020408146,1819.9621875000003,46.540000000000006,-1.8938775510204084,37.9034693877551,-128.6420512820513,-1.9492307692307698,39.7973469387755,521031.63795918366,37819.58040816327,43148.805510204074,33508.07285714286,795.7365306122448,567.8469387755102,23.245531914893625,18.951020408163266,,23.852978723404263,6.934318181818182
Europe & Central Asia,2025.0,19.67987364285714,48.05946785714285,,16289771.92982456,-0.8314285714285713,,62.238979591836745,1920.9556249999998,46.108437499999994,-1.7465306122448987,37.62795918367346,-123.79923076923077,-1.8287179487179492,39.37591836734694,536783.4879591836,38522.589591836724,44811.05877551021,34827.92326530612,827.0279591836738,590.975306122449,23.482340425531916,19.00204081632653,,23.99085106382979,6.801136363636362
Latin America & Caribbean ,1980.0,-70.83180628205129,7.463814841025642,1.772926829268293,8785335.31707317,-4.6296,0.76,,,,-2.106666666666667,19.515,,,28.11,1173743.969,9907.651666666667,3898.5350000000003,2556.27,49.110909090909104,26.51878787878789,16.705000000000002,11.501999999999999,,23.219,9.766363636363637
Latin America & Caribbean ,1981.0,-70.83180628205129,7.463814841025642,1.6558536585365853,8980651.048780488,-7.9963999999999995,0.74,,,,-4.0225,20.68,,,29.8625,1173953.3283870968,9705.56258064516,4178.816774193548,2612.486129032258,54.06727272727274,28.673939393939403,14.296000000000003,11.394516129032258,,22.85782608695652,10.248461538461537
Latin America & Caribbean ,1982.0,-70.83180628205129,7.463814841025642,1.6434146341463414,9178591.878048781,-7.298000000000001,0.71,,,,-4.44,16.926,,,21.362000000000002,1116162.0425806453,9507.772580645162,4345.166451612903,2518.4903225806447,57.0769696969697,23.6269696969697,12.8796,11.646451612903226,,20.321739130434786,11.982307692307696
Latin America & Caribbean ,1983.0,-70.83180628205129,7.463814841025642,1.7073170731707323,9378330.219512194,-5.117600000000001,0.73,,,,-5.734,17.29,,,23.026,1070754.1858064516,9267.80258064516,4397.934516129032,2482.3525806451607,57.59272727272729,21.57151515151515,12.277199999999999,11.896451612903222,,17.38913043478261,12.449333333333334
Latin America & Caribbean ,1984.0,-70.83180628205129,7.463814841025642,1.9104878048780487,9578861.390243903,-4.0032,0.77,,,,-6.21,15.138,,,21.344,1080817.5906451615,9442.83935483871,4646.167419354838,2563.31,62.03454545454546,22.504242424242427,13.848799999999997,12.149354838709677,,17.97608695652174,11.994666666666665
Latin America & Caribbean ,1985.0,-70.83180628205129,7.463814841025642,2.1246341463414633,9779409.024390243,-3.3444,0.78,,,,-2.695,17.175,,,19.87,1094445.5070967742,9510.799032258063,4832.623225806451,2588.961935483871,65.93939393939395,24.146060606060608,15.360799999999998,12.377419354838713,,18.00478260869565,11.923333333333334
Latin America & Caribbean ,1986.0,-70.83180628205129,7.463814841025642,2.2307317073170734,9979583.585365854,-3.4444000000000004,0.83,,,,-0.7416666666666667,18.584999999999997,,,19.326666666666664,1093415.806129032,9834.94741935484,5103.697419354838,2669.227741935483,70.02606060606058,24.053030303030305,14.386799999999996,12.620645161290323,,17.788695652173907,11.266874999999999
Latin America & Caribbean ,1987.0,-70.83180628205129,7.463814841025642,2.1729268292682926,10179343.268292682,-3.9072000000000005,0.88,,,,-3.088333333333333,19.133333333333336,,,22.22,1114682.5583870965,10090.382258064517,5371.240645161288,2848.8470967741932,74.11969696969696,25.573636363636364,15.785599999999999,12.86967741935484,,19.394782608695653,11.114375
Latin America & Caribbean ,1988.0,-70.83180628205129,7.463814841025642,2.0190243902439025,10378647.658536585,-3.8332000000000006,0.94,65.32,,,-3.40625,21.62875,,,25.032500000000002,1140414.637419355,10235.64677419355,5652.8677419354835,3050.1929032258067,77.54,28.80030303030303,16.5156,13.11774193548387,,19.116956521739127,10.588333333333333
Latin America & Caribbean ,1989.0,-70.83180628205129,7.463814841025642,1.8812195121951223,10577595.512195121,-2.4416000000000007,0.95,51.9,,,-1.2937500000000002,22.44875,,,23.74125,1170948.7454838709,10286.084838709678,5912.715483870967,3223.469677419355,81.24606060606062,32.30878787878788,17.502800000000004,13.365483870967743,,18.584347826086965,10.43277777777778
Latin America & Caribbean ,1990.0,-70.83180628205129,7.463814841025642,1.855853658536586,10776268.24390244,-3.5660000000000003,0.97,74.9411111111111,0.37,58.41,-0.8573684210526313,20.72473684210526,,,21.58157894736842,1169168.2206249998,10476.424374999999,6220.457812499999,3318.6384375,84.6990909090909,36.075757575757585,18.8004,13.268437500000003,,18.408695652173915,10.379473684210526
Latin America & Caribbean ,1991.0,-70.83180628205129,7.463814841025642,1.73390243902439,10974118.268292682,-3.8712000000000004,0.98,57.386666666666656,1486.415,39.510000000000005,-1.4905263157894737,20.453684210526315,,,21.94473684210526,1159124.0025000004,10535.672187499997,6467.997812500001,3502.9318750000007,90.84121212121214,38.80818181818182,16.57346153846154,13.514687500000003,,18.678749999999997,10.21809523809524
Latin America & Caribbean ,1992.0,-70.83180628205129,7.463814841025642,1.6821951219512192,11171000.902439024,-4.2896,0.99,50.325384615384614,1243.78,34.205,-1.5021052631578948,19.861578947368415,,,21.364210526315794,1181524.9403125003,10788.598125,6770.327812500001,3699.5081250000003,95.91575757575758,42.50606060606062,16.49961538461539,13.759687500000004,,19.889166666666668,10.645238095238096
Latin America & Caribbean ,1993.0,-70.83180628205129,7.463814841025642,1.6363414634146336,11367112.341463415,-3.7891999999999997,1.01,48.16923076923077,1344.715,32.760000000000005,-1.1509999999999998,20.1575,0.28,0.11,21.309,1222429.6228125,10973.6278125,7050.435625000002,3848.0446875000002,102.12787878787879,47.84121212121212,15.47538461538461,14.002812500000003,,20.671666666666667,10.685238095238097
Latin America & Caribbean ,1994.0,-70.83180628205129,7.463814841025642,1.5778048780487801,11562406.048780488,-2.4240000000000004,1.03,47.129333333333335,486.63750000000005,49.435,-1.1827272727272726,20.924545454545456,-2.15,2.645,22.106818181818188,1223401.0781818184,10934.199393939394,7178.548484848484,4026.142727272727,109.1957575757576,54.526666666666664,16.46576923076923,13.941212121212123,,21.130416666666672,10.299090909090909
Latin America & Caribbean ,1995.0,-70.83180628205129,7.463814841025642,1.542682926829268,11756803.512195121,-2.3572000000000006,1.08,44.7675,287.5025,46.46,-0.5416000000000001,20.919999999999995,-1.1366666666666667,1.5600000000000003,21.461599999999997,1238658.4932352945,11828.675588235292,8027.6097058823525,4637.27294117647,109.45352941176469,56.87470588235294,18.209999999999997,13.761764705882355,,20.826400000000003,10.32
Latin America & Caribbean ,1996.0,-70.83180628205129,7.463814841025642,1.5312195121951215,11950510.951219512,-2.0820000000000003,1.11,41.492000000000004,98.18,41.410000000000004,-0.8722222222222223,22.0162962962963,-47.77285714285715,-0.1300000000000001,22.89074074074074,1244822.070882353,12084.951176470588,8346.183235294115,4857.580882352942,115.6470588235294,61.75176470588235,17.905925925925928,14.050588235294118,,20.2792,10.899545454545454
Latin America & Caribbean ,1997.0,-70.83180628205129,7.463814841025642,1.4965853658536585,12142881.414634146,-4.329200000000001,1.13,44.87083333333333,12.235000000000001,46.785,-1.4280000000000002,20.985000000000003,-28.2125,-0.7825000000000001,22.41266666666666,1278187.822058824,12520.919117647063,8795.349117647058,5150.766176470588,123.88117647058826,67.59323529411762,18.449999999999996,14.27294117647059,,21.7236,10.131363636363638
Latin America & Caribbean ,1998.0,-70.83180628205129,7.463814841025642,1.4195121951219516,12040168.142857144,-5.313600000000001,1.14,45.64759999999999,266.47,44.61571428571428,-2.1683333333333334,20.88766666666667,-24.454999999999995,-0.9937499999999999,23.05533333333334,1271038.8108823532,12809.527647058823,9094.550294117647,5405.390294117646,128.42882352941174,68.2058823529412,18.25296296296296,14.497352941176471,,22.721999999999998,9.642608695652173
Latin America & Caribbean ,1999.0,-70.83180628205129,7.463814841025642,1.320238095238095,12223017.214285715,-4.1546153846153855,1.14,49.77423076923076,5666.378749999999,42.07875,-2.5545161290322578,21.075806451612905,-35.199999999999996,-1.3250000000000002,23.62967741935484,1231888.0164705885,12898.819411764704,9294.212941176476,5470.449999999999,130.4673529411765,61.402352941176495,18.66592592592593,14.717941176470585,,21.7396,10.102916666666667
Latin America & Caribbean ,2000.0,-70.83180628205129,7.463814841025642,1.2692857142857144,12402463.07142857,-2.728846153846154,1.16,51.01933333333332,5933.899999999999,42.315000000000005,-2.2127272727272724,21.448484848484846,-575.2971428571428,-2.5500000000000003,23.66,1220690.2438235297,13226.707352941175,9758.796470588235,5725.142647058822,138.26470588235293,67.1041176470588,17.68892857142857,14.944117647058823,,22.220769230769232,9.8976
Latin America & Caribbean ,2001.0,-70.83180628205129,7.463814841025642,1.325,12578170.785714285,-3.9265384615384615,1.13,55.582499999999996,6524.119999999999,41.33692307692308,-2.9893939393939393,21.154545454545453,-443.86062499999997,-1.89,24.142121212121207,1209230.4579411764,13225.435882352942,9966.359117647058,5781.090588235293,142.35176470588235,65.6641176470588,15.9225,15.16117647058824,,20.786923076923074,10.196800000000001
Latin America & Caribbean ,2002.0,-70.83180628205129,7.463814841025642,1.4119047619047616,12750222.88095238,-3.745,1.16,64.27281249999999,9894.053076923077,45.99,-3.8481818181818195,21.102424242424245,-343.0355555555556,-2.4666666666666663,24.950606060606056,1207441.4938235297,13195.769411764702,10106.919705882352,5661.603529411765,144.9414705882353,58.49147058823531,16.565,15.36823529411765,,19.50653846153846,10.7284
Latin America & Caribbean ,2003.0,-70.83180628205129,7.463814841025642,1.470476190476191,12919036.57142857,-2.1757692307692307,1.19,64.3603125,9900.386923076921,44.613846153846154,-2.843636363636364,21.861515151515146,-126.22166666666665,-1.1577777777777778,24.70303030303031,1238044.6149999998,13451.103823529409,10499.739705882355,5803.415588235293,150.4305882352941,59.59823529411764,17.50321428571429,15.572352941176472,,19.595,10.57
Latin America & Caribbean ,2004.0,-70.83180628205129,7.463814841025642,1.4426190476190475,13085490.404761905,-1.0549999999999997,1.21,61.9640625,9483.522307692307,43.433076923076925,-2.0100000000000002,22.135151515151517,108.71944444444446,-0.5116666666666667,24.143636363636357,1278520.5732352943,13951.177647058825,11187.672058823528,6267.8052941176475,163.6932352941177,68.22088235294117,18.49285714285714,15.776176470588235,,20.304230769230763,9.633199999999999
Latin America & Caribbean ,2005.0,-70.83180628205129,7.463814841025642,1.3714285714285712,13250102.142857144,-1.0057692307692305,1.22,57.97218749999999,8823.096153846156,39.60769230769232,-1.299090909090909,23.201212121212116,219.11666666666667,-0.8983333333333332,24.500303030303023,1303943.4973529412,14382.17647058824,11885.053529411765,6911.787058823529,175.8894117647059,82.53676470588236,19.916428571428565,15.97882352941177,,21.359615384615385,9.022800000000002
Latin America & Caribbean ,2006.0,-70.83180628205129,7.463814841025642,1.3102380952380952,13412801.857142856,0.8165384615384614,1.27,51.88727272727275,8377.66769230769,33.419230769230765,-0.9457575757575759,24.11363636363636,-113.76166666666667,-0.8805555555555556,25.05787878787879,1360323.568529412,14967.89617647059,12754.326764705882,7552.438529411766,190.81470588235297,96.58264705882354,21.84357142857143,16.18147058823529,,22.529615384615383,8.291199999999998
Latin America & Caribbean ,2007.0,-70.83180628205129,7.463814841025642,1.2428571428571429,13573606.285714285,-0.8484615384615382,1.23,46.876969696969695,7808.206923076922,27.217692307692307,-0.5266666666666667,24.52272727272727,-301.9527777777777,-0.6161111111111112,25.050303030303034,1421779.4364705884,15487.938235294116,13542.76882352941,8328.876764705883,206.5364705882353,114.17500000000007,22.645714285714284,16.38470588235294,,23.776538461538465,7.565199999999999
Latin America & Caribbean ,2008.0,-70.83180628205129,7.463814841025642,1.1616666666666664,13732946.547619049,-3.1596153846153854,1.19,45.83382352941177,7637.5492857142835,26.401428571428568,-0.7521212121212121,25.23939393939394,-121.96499999999999,-1.5755555555555556,25.991818181818182,1469543.9370588239,15779.215000000002,14054.044999999998,9121.05676470588,218.61911764705877,132.68441176470583,21.48392857142857,16.588529411764704,,25.009230769230776,7.194
Latin America & Caribbean ,2009.0,-70.83180628205129,7.463814841025642,1.098095238095238,13891191.166666666,-1.2773076923076923,1.1,49.752058823529424,9967.565714285714,29.36714285714286,-3.7139393939393934,23.890000000000004,-750.3,-2.1955555555555555,27.60363636363636,1448124.7491176468,15178.414705882356,13592.235588235295,8543.01705882353,215.73852941176466,123.00999999999998,19.440714285714282,16.79323529411765,,20.785,8.662
Latin America & Caribbean ,2010.0,-70.83180628205129,7.463814841025642,1.0166666666666668,14046013.452380951,-2.35576923076923,1.06,50.22764705882352,11740.789285714283,29.489285714285717,-2.684848484848484,24.360000000000003,-968.2838888888889,-2.5166666666666657,27.04424242424243,1537918.4935294122,15391.516764705882,13917.444705882355,9190.832941176472,231.25147058823532,152.8570588235294,19.939285714285713,17.005294117647058,,21.5,8.7064
Latin America & Caribbean ,2011.0,-70.83180628205129,7.463814841025642,0.9238095238095243,14203307.404761905,-3.689230769230768,1.03,50.58999999999999,12468.407142857139,29.622857142857146,-2.3587878787878775,24.7539393939394,-969.9183333333335,-2.3622222222222224,27.112121212121213,1596847.1523529417,15743.432352941178,14510.436176470586,9908.41117647059,246.72470588235294,177.30911764705883,20.02642857142857,17.207352941176467,,22.609230769230773,8.290399999999998
Latin America & Caribbean ,2012.0,-70.83180628205129,7.463814841025642,0.9804761904761905,14359461.452380951,-3.404444444444444,1.03,51.839705882352945,12751.179285714285,30.62,-2.9336363636363636,24.685757575757577,-728.4916666666667,-3.1677777777777774,27.62030303030303,1609325.2585294119,15934.125882352942,14689.456176470589,10203.70294117647,255.23264705882363,178.2326470588235,19.300714285714285,17.405294117647056,,22.396538461538462,7.984799999999999
Latin America & Caribbean ,2013.0,-70.83180628205129,7.463814841025642,0.995952380952381,14514287.785714285,-4.454074074074074,1.0,53.21323529411765,15042.557857142858,31.61785714285714,-3.1584848484848482,24.910000000000007,-1342.2161111111109,-3.7672222222222222,28.068484848484847,1685751.0158823528,16159.908823529413,15148.444705882357,10387.296176470589,266.46970588235297,180.92470588235292,18.998928571428568,17.606470588235293,,22.14230769230769,7.727600000000001
Latin America & Caribbean ,2014.0,-70.83180628205129,7.463814841025642,0.909047619047619,14666730.61904762,-5.123030303030302,0.99,53.96676470588237,19697.978571428568,33.46142857142856,-3.5799999999999996,24.80117647058824,-1649.6383333333333,-4.0249999999999995,28.381176470588237,1732882.3897058824,16334.228235294118,15571.085882352942,10478.86705882353,274.19705882352935,178.94352941176473,17.370909090909095,17.80147058823529,,21.360322580645168,7.680799999999998
Latin America & Caribbean ,2015.0,-70.83180628205129,7.463814841025642,0.9042857142857146,14816692.595238095,-4.6475757575757575,0.99,54.971176470588226,26717.19214285714,36.309999999999995,-2.9917647058823524,24.716764705882348,-2030.7272222222225,-4.017777777777778,27.70764705882353,1761333.6629411767,16421.21970588235,15634.735294117647,10461.761470588233,272.4644117647058,158.12852941176473,17.63818181818182,17.99735294117647,,21.47645161290323,7.4996
Latin America & Caribbean ,2016.0,-70.83180628205129,7.463814841025642,0.8940476190476193,14963925.547619049,-3.578787878787878,0.99,56.69411764705884,27311.05,39.79357142857143,-2.681176470588236,24.746764705882356,-1021.3238888888887,-3.3972222222222226,27.427647058823535,1796300.3632352944,16425.768529411765,15942.65735294118,10337.878529411766,276.62294117647076,151.8364705882353,18.441818181818178,18.181470588235296,,20.51354838709678,8.262
