Country Name,Country Code,Series Name,Series Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.454405933,3.523644107,3.552888506,3.567326642,3.564244036,3.547875982,3.53169623,3.514404774,3.482401589,3.434426879,3.378480754,3.324456291,3.280311952,3.246641936,3.226144493,3.21685908,3.21423426,3.217320072,3.228941421,3.249247377,3.277203555,3.301198182,3.329256674,3.37881111,3.453013829,3.537557154,3.619574559,3.68063537,3.710531322,3.703877683,3.671462401,3.634158626,3.597774308,3.551950467,3.497492744,3.438850684,3.37827278,3.322080998,3.276133875,3.242982603,,,,,,
Angola,AGO,"Population, total",SP.POP.TOTL,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,19433602,20149901,20905363,21695634,22514281,23356246,24220661,25107931,26015780,26941779,27884381,28842484,29816748,30809762,31825295,32866000,33934000,35027000,36149000,37299000,38478000
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,-0.140529999,-0.10512272,-0.033986357,0.012948546,-0.001618477,0,-0.051805085,-0.059933103,0.087457896,0.382941031,0.835104744,1.332876478,1.727228909,2.005472286,2.146253641,2.157965307,2.165119903,2.158291239,2.097670203,1.960873657,1.781187179,1.561104092,1.392885863,1.275438464,1.297971065,1.395564086,1.50944883,1.585830631,1.618469661,1.567333688,1.467063743,1.382008785,1.286878642,1.217000042,1.136486988,1.078837937,1.021843835,0.946557003,0.89718512,0.860380481,,,,,,
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,61865,61800,61779,61787,61786,61786,61754,61717,61771,62008,62528,63367,64471,65777,67204,68670,70173,71704,73224,74674,76016,77212,78295,79300,80336,81465,82704,84026,85397,86746,88028,89253,90409,91516,92562,93566,94527,95426,96286,97118,98000,99000,100000,100000,101000,102000
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.537002337,1.571959682,1.596423021,1.610528847,1.610383698,1.598562977,1.584808921,1.568954269,1.541822324,1.501773454,1.452983278,1.401439861,1.352181892,1.306059088,1.265318603,1.22923063,1.193611663,1.159485353,1.132262439,1.11335834,1.100583725,1.092079483,1.083551371,1.07199404,1.055389384,1.036281168,1.01544167,0.998858904,0.99259313,0.999544734,0.752213052,1.15305928,1.136905694,1.1191092,1.099461091,1.078001344,1.057181578,1.037133897,1.015808349,0.993397493,,,,,,
Argentina,ARG,"Population, total",SP.POP.TOTL,27896528,28338515,28794548,29262047,29737093,30216279,30698964,31184415,31668949,32148134,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,38892931,39289878,39684295,40080160,40482788,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45350000,45758000,46161000,46560000,46953000,47341000
Armenia,ARM,Population growth (annual %),SP.POP.GROW,1.647333671,1.547507214,1.437884934,1.39629188,1.440938552,1.520551942,1.674304637,1.74408746,1.515480648,0.90369594,0.04797414,-0.934580005,-1.797409529,-2.34244852,-2.390476071,-2.040336799,-1.53871861,-1.115081278,-0.781896829,-0.634591459,-0.631020799,-0.617751681,-0.549218141,-0.530280113,-0.571956874,-0.650321107,-0.773190355,-0.872160581,-0.856135016,-0.67381128,-0.373711867,-0.027147008,0.267013214,0.461966644,0.51012273,0.450500903,0.361431439,0.294612228,0.236306379,0.201539723,,,,,,
Armenia,ARM,"Population, total",SP.POP.TOTL,3099754,3148096,3193689,3238595,3285599,3335940,3392264,3451947,3504659,3536474,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2981269,2958307,2932618,2907618,2888092,2877319,2876538,2884229,2897584,2912403,2925553,2936146,2944809,2951776,2957731,2963000,2968000,2972000,2975000,2977000,2977000
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.193211026,0.780690671,1.276347795,1.385740854,1.015708085,0.301918203,-0.607943306,-1.303070407,-1.226909428,-0.076979146,1.813641093,3.902018236,5.44027196,6.068410306,5.625997562,4.616674713,3.517889233,2.669576442,2.114385656,1.960557913,2.055026783,2.22593013,2.229056047,2.109354335,1.757352867,1.30203884,0.79954624,0.384052418,0.134267964,0.095654625,0.210708808,0.370125352,0.502430116,0.582349411,0.594397037,0.544892394,0.50761773,0.469944453,0.453575639,0.442121959,,,,,,
Aruba,ABW,"Population, total",SP.POP.TOTL,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560,103159,103774,104341,104872,105366,105845,106314,107000,107000,108000,108000,108000,109000
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.21894271,1.586852569,1.667535733,1.250548264,1.132221845,1.367346075,1.638988867,1.520986626,1.636206657,1.69256678,1.479978016,1.274577578,1.213390775,0.978336681,1.058508842,1.208019812,1.313819299,1.11872569,1.042235716,1.142505187,1.192272323,1.348358342,1.220563785,1.233996663,1.159352162,1.319789554,1.475227945,0.624678435,2.00402174,2.06104513,1.555489589,1.389527316,1.745820001,1.72115144,1.491566489,1.439216653,1.561940498,1.684523108,1.536105516,1.515984454,,,,,,
Australia,AUS,"Population, total",SP.POP.TOTL,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24982688,25364307,25651000,25932000,26207000,26477000,26743000,27006000
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.000105968,0.255018231,0.071717018,-0.161600981,-0.006294904,0.046950968,0.063548997,0.063284204,0.14157085,0.4505139,0.762001611,0.998418103,1.100552287,0.824627941,0.384869547,0.153106261,0.135019834,0.113316608,0.109728368,0.194563153,0.240466652,0.382799394,0.491980464,0.487133895,0.620413127,0.681267248,0.494797775,0.324146535,0.313041438,0.26195319,0.2403943,0.337080842,0.455937472,0.589387255,0.781541633,1.120992502,1.081396299,0.694621104,0.487071925,0.412539809,,,,,,
Austria,AUT,"Population, total",SP.POP.TOTL,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8877067,8912000,8934000,8947000,8955000,8962000,8973000
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,1.591151769,1.590043602,1.5912719,1.601643784,1.622093039,1.646524939,1.668709716,1.680321142,1.676420976,1.653213863,0.44966151,1.552352725,1.515077094,1.519152695,1.351730097,1.151694447,1.009848043,0.964673774,0.949138147,0.8775987,0.821519964,0.774765939,0.746173583,0.757650956,0.87542728,1.022265592,1.098586574,1.133855466,2.099854033,2.076148264,1.189787708,1.303000855,1.328763827,1.293447027,1.248208997,1.191209858,1.11785721,0.981261805,0.866316916,0.837019639,,,,,,
