Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Liberia,LBR,Population growth (annual %),SP.POP.GROW,3.222049431,3.490705372,3.61612653,3.348415348,2.612061773,1.601142857,0.58896365,-0.23716627,-0.896537317,-1.304856025,-1.459447095,-1.738263241,-1.905909172,-1.253056935,0.494249077,2.88612331,5.509748793,7.390740118,7.902190372,6.988630224,5.363199244,3.635837846,2.368602914,1.7152445,1.886286234,2.452522593,2.427194604,..,..,..,..,..,..
Liberia,LBR,"Population, total",SP.POP.TOTL,1853001,1918826,1989483,2057227,2111671,2145754,2158429,2153316,2134097,2106431,2075912,2040139,2001624,1976699,1986493,2044661,2160478,2326202,2517481,2699712,2848456,2953927,3024729,3077058,3135651,4818977,4937374,5058000,5180000,5305000,5432000,5561000,5692000
Libya,LBY,Population growth (annual %),SP.POP.GROW,3.886911417,3.908223101,3.886500675,3.784307643,3.587363459,3.33515766,3.071166537,2.841341826,2.658564114,2.538071991,2.457958916,2.395887054,2.319658703,2.216714209,2.07586886,1.916136405,1.750135232,1.611903433,1.527409756,1.511500596,1.541621852,1.580551402,1.600878048,1.604426812,1.58170034,1.47586739,1.469777653,..,..,..,..,..,..
Libya,LBY,"Population, total",SP.POP.TOTL,3219466,3347781,3480454,3614689,3746715,3873781,3994597,4109725,4220450,4328939,4436661,4544242,4650885,4755133,4854875,4948798,5036171,5118007,5196780,5275926,5357891,5443248,5531089,5620547,5710154,6678567,6777452,6871000,6959000,7041000,7119000,7194000,7268000
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,1.636251395,1.377691265,1.129355999,0.948905385,0.917795574,0.927773388,0.98821159,1.003691002,1.04350016,1.131193794,1.188035917,1.277024326,1.342164854,1.417843937,1.493380513,1.481121912,1.504174403,1.52587721,1.499848823,1.4075217,1.258488552,1.102864211,0.969887925,0.86990292,0.807266832,0.29058269,0.287110524,..,..,..,..,..,..
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,25879,26238,26536,26789,27036,27288,27559,27837,28129,28449,28789,29159,29553,29975,30426,30880,31348,31830,32311,32769,33184,33552,33879,34175,34452,37910,38019,38000,38000,38000,39000,39000,39000
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,0.451032941,0.576822232,0.703386263,0.807019735,0.829019019,0.859591157,0.965016473,1.041052831,1.063956866,0.795883483,0.36799903,0.170116869,-0.108586325,-0.474107543,-0.694003963,-0.769728018,-0.760343408,-0.737830358,-0.724436207,-0.709489234,-0.70338544,-0.824008723,-0.802765711,-0.812278097,-1.122991275,-0.954190459,-0.526056406,..,..,..,..,..,..
Lithuania,LTU,"Population, total",SP.POP.TOTL,3413202,3432947,3457179,3485192,3514205,3544543,3578914,3616367,3655049,3684255,3697838,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,2801543,2786844,2753000,2724000,2699000,2676000,2654000,2633000
Low & middle income,LMY,Population growth (annual %),SP.POP.GROW,2.006832488,2.025095068,2.081622174,2.072338766,2.032620904,2.031213197,2.04816512,2.062241909,2.040193003,1.987789208,1.972917076,1.87552836,1.806134165,1.750398472,1.708981937,1.665725804,1.633797914,1.605313788,1.564216543,1.515686315,1.481414003,1.448109135,1.419500125,1.39768102,1.380503679,1.231414843,1.198851595,1.181836337,1.159851662,1.13706829,1.113480474,1.08915352,1.064881773
Low & middle income,LMY,"Population, total",SP.POP.TOTL,3475736527,3546123496,3619940389,3694957817,3770062302,3846640305,3925425850,4006377627,4088115463,4169378581,4251636963,4331377620,4409608111,4486793824,4563472320,4639487256,4715287102,4790982256,4865923593,4939675731,5012852779,5085444358,5157632247,5229719494,5301915964,6361417194,6437681145,6513764000,6589314000,6664239000,6738444000,6811836000,6884374000
Low income,LIC,Population growth (annual %),SP.POP.GROW,2.491425918,2.45841244,2.439180738,2.444106827,2.478889664,2.534263998,2.587614358,2.636074807,2.695095841,2.765196012,2.837295455,2.915449146,2.977061562,2.993388399,2.955060858,2.883986828,2.801697996,2.738774403,2.711253373,2.729949379,2.777500612,2.826319704,2.858775914,2.878789325,2.881821859,2.604124314,2.629610405,2.638328073,2.653583854,2.66237113,2.651552871,2.618091671,2.569152316
