Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,3.01240658550505,3.05140636216326,3.08277627356878,3.11116944811422,3.13694656763308,3.15695763111252,3.17303530406618,3.17716166665816,3.15857060860854,3.11455371679506,3.05366922734741,2.99231289444124,2.93547860764556,2.87511451757627,2.81216430975158,2.75075586103666,2.69014573214394,2.63926703894806,2.61000207051589,2.60652447933916,2.62109932792552,2.63964003469426,2.65570461896811,2.67376297649597,2.69220301288578,2.61229075104427,2.58424710709784,..,..,..,..,..,..
Cameroon,CMR,"Population, total",SP.POP.TOTL,8621406,8888535,9166816,9456494,9757841,10070806,10395480,10731064,11075422,11425800,11780088,12137912,12499499,12864090,13230984,13599988,13970813,14344449,14723768,15112592,15513945,15928910,16357602,16800865,17259322,25216237,25876380,26546000,27224000,27912000,28608000,29315000,30032000
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.28959497847156,1.23339725480528,1.18962434077573,0.988487567147771,0.944034716041094,0.91377427539001,0.994040150630969,1.31816778174498,1.29662488995999,1.79419351491939,1.50766067284807,1.24276123131684,1.18367554138942,1.09893087887878,1.09525810706129,1.03476948386834,1.04531178311831,0.993788591465188,0.829909353323744,0.812842623716166,0.931281553452429,1.08635096562717,1.08744792718674,0.901372739095955,0.933020777495183,1.39794779099322,1.42405130729193,..,..,..,..,..,..
Canada,CAN,"Population, total",SP.POP.TOTL,24515667,24819915,25116942,25366451,25607053,25842116,26100278,26446601,26791747,27276781,27691138,28037420,28371264,28684764,29000663,29302311,29610218,29905948,30155173,30401286,30685730,31020902,31360079,31644028,31940655,37057765,37589262,37912000,38231000,38546000,38858000,39166000,39471000
Caribbean small states,CSS,Population growth (annual %),SP.POP.GROW,1.14987700843783,1.20947662309661,1.2502991793115,1.23190488947354,1.13328569328577,0.984709668344649,0.813749025296914,0.672604959180717,0.599712256186649,0.621212277066178,0.707773966828995,0.816357978723147,0.89970665076784,0.941235748178215,0.923513103225403,0.864816169356558,0.797460353850155,0.74664206921824,0.709800594241457,0.695052964533446,0.695820777568002,0.700254932651262,0.69931893053554,0.696536620557424,0.691357697996281,0.601162817720862,0.576385402023249,0.562313978972313,0.51054682251781,0.521320679053588,0.465425531914889,0.450033090668427,0.434839899855049
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,5482206,5548512,5617885,5687092,5751543,5808179,5855443,5894827,5930179,5967018,6009251,6058308,6112815,6170351,6227335,6281190,6331280,6378552,6423827,6468476,6513485,6559096,6604965,6650971,6696953,7358965,7401381,7443000,7481000,7520000,7555000,7589000,7622000
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,4.6202840604481,3.91922438076473,3.37651248136138,3.22736049675971,3.59352751987109,4.18027667535098,4.82836845223897,5.3092946679767,5.49511895147497,5.46289664399959,5.16010801212002,4.75251418628453,4.55126038781092,4.53559769281005,4.85132804367121,5.27243993824452,5.73604701521758,5.9572445710533,5.83638798908194,5.31179221484911,4.55332935477277,3.78532634246039,3.17209580868738,2.78547737085683,2.68702564554061,1.2418234783193,1.19888054809676,..,..,..,..,..,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,16212,16860,17439,18011,18670,19467,20430,21544,22761,24039,25312,26544,27780,29069,30514,32166,34065,36156,38329,40420,42303,43935,45351,46632,47902,64174,64948,66000,66000,67000,68000,69000,70000
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,2.69957429917276,2.91637807295291,3.08261224042954,3.07736699280915,2.8677764603464,2.54117257376138,2.16322665337527,1.87165554550615,1.76505800358741,1.90313788156346,2.1973095315302,2.52509219601212,2.76586751549388,2.89470429763114,2.87557888738909,2.75719055169252,2.62083457099804,2.51340374159003,2.41878043234403,2.34664723020516,2.28984584302171,2.21650118570358,2.12949156728705,2.05785787729933,2.00729703477702,1.51905153699811,1.67474521186478,..,..,..,..,..,..
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2199356,2264442,2335333,2408317,2478382,2542169,2597761,2646840,2693973,2745734,2806734,2878509,2959236,3046149,3135015,3222656,3308233,3392436,3475492,3558014,3640427,3722018,3802128,3881181,3959875,4666377,4745185,4830000,4920000,5017000,5119000,5227000,5338000
Central Europe and the Baltics,CEB,Population growth (annual %),SP.POP.GROW,0.55942212591053,0.551969904332708,0.560992635895857,0.526738140160646,0.498842834691146,0.459592848542997,0.444383227704719,0.430013736685225,0.353878196868124,0.103806472211573,-0.0528078826270075,-0.247113301693986,-0.324083214776437,-0.0631451111344035,-0.0184747769404652,-0.143015561108854,-0.216678317712208,-0.186252019293846,-0.167857449305004,-0.162387125252906,-0.562187468913606,-0.72641660380387,-0.650464177326484,-0.313747925609889,-0.274282095915453,-0.196252329685493,-0.154526619486703,-0.305316798741657,-0.288048909529124,-0.286915851118181,-0.288726842727627,-0.30537519641851,-0.326136521342619
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,106541316,107129392,107730380,108297837,108838073,109338285,109824166,110296425,110686740,110801640,110743128,110469467,110111454,110041924,110021594,109864246,109626194,109422013,109238340,109060951,108447824,107660041,106959751,106624167,106331716,102537026,102378579,102066000,101772000,101480000,101187000,100878000,100549000
Chad,TCD,Population growth (annual %),SP.POP.GROW,2.05183890044904,2.15667374088175,2.25736465183819,2.39075735659093,2.55863902434574,2.74250874013468,2.93720506423333,3.10647832957577,3.21371776128217,3.24388461908146,3.22647439233565,3.19865069158174,3.19144490573694,3.20713643307911,3.254410946844,3.32259859411546,3.37775570145448,3.42327028722826,3.49076965111611,3.58349076781186,3.68271858202912,3.7858528823996,3.85623329105181,3.85716413049533,3.77727657753721,3.02357969868233,2.98593746093303,..,..,..,..,..,..
