Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,-0.407546008918242,-1.3935442488808,-2.21965641097275,-2.71294766241586,-2.6954804935256,-2.20436802009669,-1.70677200088966,-1.12804091251677,0.116016612231607,2.1363545952905,4.47689650838849,6.90015617480998,8.54612019554754,8.79088864126614,7.6597770327302,5.88425681193136,4.01946819541008,2.63653889246912,1.9473185295401,2.17043897031679,2.97505284644171,3.90280570094654,4.49671956064979,4.66836149396509,4.3215392956708,2.38476110022344,2.31181721714573,..,..,..,..,..,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,37172386,38041754,38928000,39835000,40754000,41681000,42609000,43532000
Albania,ALB,Population growth (annual %),SP.POP.GROW,2.04796386136191,2.00297430640894,2.11327178253342,2.12088533357751,2.10393661802013,2.05599460887143,1.93322081083734,1.99703995612751,1.88671052887888,2.68786198874035,1.79908559333186,-0.602809679480026,-0.606434726201759,-0.610165792730247,-0.613880506929603,-0.617703658436963,-0.62151139901728,-0.625430096900055,-0.629334392525913,-0.63335227398725,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.246732042281782,-0.426007367032238,..,..,..,..,..,..
Albania,ALB,"Population, total",SP.POP.TOTL,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,2866376,2854191,2850000,2844000,2837000,2828000,2820000,2811000
Algeria,DZA,Population growth (annual %),SP.POP.GROW,3.03090472527547,3.08704800852557,3.12162711240806,3.12371195818026,3.08758016794359,3.02286094051312,2.94697219159109,2.86684602165527,2.77584895427799,2.67514474264032,2.56645657133517,2.46031589342803,2.35032732559065,2.22162937165606,2.07085775129983,1.90982147845309,1.75317579614436,1.61528329807518,1.50088576780198,1.41626567134276,1.35840780581394,1.30984253035285,1.27506554250519,1.27591463464404,1.31784619068686,2.00737383000812,1.93395019121501,..,..,..,..,..,..
Algeria,DZA,"Population, total",SP.POP.TOTL,19221665,19824301,20452902,21101875,21763575,22431502,23102389,23774284,24443467,25106190,25758869,26400479,27028326,27635515,28213774,28757785,29266405,29742979,30192754,30623406,31042235,31451514,31855109,32264157,32692163,42228429,43053054,43851000,44617000,45350000,46053000,46731000,47388000
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,2.48419529085143,3.18051737767249,3.69058470524453,4.04650330820288,4.12657057988996,4.06174724738579,3.96887328692488,3.8664948105953,3.6819611007044,3.43795286697384,3.11690700845574,2.78675147783783,2.45698647931019,2.22768734898439,2.08512621504816,2.0256069940163,1.95587950788337,1.8459475835551,1.70572937649124,1.55800508932696,1.33713711153801,1.15721533829325,0.996827278798957,0.715107951953511,0.297017460458198,-0.279065761519574,-0.276230801135428,..,..,..,..,..,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,32646,33701,34968,36412,37946,39519,41119,42740,44343,45894,47347,48685,49896,51020,52095,53161,54211,55221,56171,57053,57821,58494,59080,59504,59681,55465,55312,55000,55000,55000,55000,55000,55000
Andorra,AND,Population growth (annual %),SP.POP.GROW,3.52438254092144,3.89626131306246,4.21395261940921,4.38424322371306,4.40165341781343,4.33944334402962,4.20839781528901,4.08176950076047,4.00300186229743,3.91566517519316,3.85436230887431,3.88967903964987,3.83747187097437,3.47610065377555,2.75962128912424,1.85420282931456,0.795573964563408,-0.0512872329347217,-0.288007422613352,0.354831049582302,1.57216555086599,2.93999220643334,3.94257335261145,4.37544919255239,4.09892347776702,0.00649321134981403,0.176453843432831,..,..,..,..,..,..
Andorra,AND,"Population, total",SP.POP.TOTL,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,77006,77142,77000,77000,77000,78000,78000,78000
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.45440593300879,3.52364410710805,3.55288850621696,3.56732664173581,3.56424403564629,3.5478759816658,3.53169623028291,3.51440477390392,3.48240158939181,3.43442687920317,3.37848075385716,3.32445629073671,3.28031195167043,3.24664193567482,3.2261444934615,3.21685908016485,3.21423426008512,3.21732007158228,3.22894142127846,3.24924737691682,3.27720355508788,3.3011981819287,3.32925667399073,3.37881111015826,3.45301382916021,3.27613387502724,3.2429826028718,..,..,..,..,..,..
Angola,AGO,"Population, total",SP.POP.TOTL,8341289,8640446,8952950,9278096,9614754,9961997,10320111,10689250,11068050,11454777,11848386,12248901,12657366,13075049,13503747,13945206,14400719,14871570,15359601,15866869,16395473,16945753,17519417,18121479,18758145,30809762,31825295,32866000,33934000,35027000,36149000,37299000,38478000
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,-0.140529998817271,-0.105122720229393,-0.0339863572324402,0.0129485457345611,-0.00161847652807987,0,-0.0518050845324151,-0.0599331034939804,0.0874578962198747,0.38294103138901,0.835104744110728,1.33287647813892,1.72722890909559,2.00547228608913,2.1462536413602,2.1579653065429,2.16511990310972,2.15829123913782,2.09767020274176,1.96087365674591,1.78118717946282,1.56110409210633,1.39288586317774,1.27543846433961,1.29797106515473,0.897185120114641,0.860380480678118,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,61865,61800,61779,61787,61786,61786,61754,61717,61771,62008,62528,63367,64471,65777,67204,68670,70173,71704,73224,74674,76016,77212,78295,79300,80336,96286,97118,98000,99000,100000,100000,101000,102000
Arab World,ARB,Population growth (annual %),SP.POP.GROW,3.26735354307203,3.21018355434808,3.16018255240806,3.10987562608751,3.06322732902457,3.01825828167401,2.96780651007589,2.9121734611244,2.85826714375629,2.80736125588051,3.67835016041846,2.72994382169094,1.84699684261058,2.69874976407598,2.59407432170053,3.11994232587458,2.3285240118075,2.24757281105448,2.17263328403585,2.15024179379411,2.15283997088547,2.15623695895613,2.16100102539536,2.18847163773353,2.24134294135372,1.91591254949664,1.9246927332871,1.9182753688402,1.93405766858223,1.93740551436181,1.91868009639747,1.87021727173908,1.80357313664432
Arab World,ARB,"Population, total",SP.POP.TOTL,164420785,169698994,175061792,180505996,186035305,191650331,197338142,203084971,208889682,214753970,222653373,228731685,232956352,239243261,245449409,253107289,259000953,264822188,270575803,276393837,282344154,288432163,294665185,301113849,307862843,419790591,427870270,436078000,444512000,453124000,461818000,470455000,478940000
Argentina,ARG,Population growth (annual %),SP.POP.GROW,1.53700233733147,1.5719596815186,1.59642302115772,1.6105288467556,1.6103836979207,1.59856297736431,1.58480892092135,1.56895426879684,1.54182232360841,1.50177345442999,1.45298327770338,1.40143986117005,1.35218189218791,1.30605908818315,1.26531860252529,1.22923063031259,1.19361166344767,1.15948535284456,1.13226243882048,1.11335833997557,1.10058372499365,1.09207948287894,1.08355137141795,1.07199403993674,1.05538938422725,1.01580834908002,0.993397493293046,..,..,..,..,..,..
Argentina,ARG,"Population, total",SP.POP.TOTL,27896528,28338515,28794548,29262047,29737093,30216279,30698964,31184415,31668949,32148134,32618651,33079000,33529326,33970111,34402672,34828170,35246374,35657429,36063459,36467218,36870787,37275652,37681749,38087868,38491972,44494502,44938712,45350000,45758000,46161000,46560000,46953000,47341000
Armenia,ARM,Population growth (annual %),SP.POP.GROW,1.64733367104655,1.54750721392796,1.43788493402599,1.3962918795889,1.44093855226952,1.52055194214934,1.67430463664775,1.74408745952844,1.5154806482301,0.903695939797528,0.0479741395518128,-0.934580005345366,-1.79740952850657,-2.34244851960355,-2.39047607082837,-2.04033679929827,-1.53871861049144,-1.11508127761213,-0.781896829378965,-0.634591459310337,-0.63102079888531,-0.617751681128924,-0.54921814104521,-0.530280113243845,-0.571956874130282,0.236306378760517,0.201539722879792,..,..,..,..,..,..
Armenia,ARM,"Population, total",SP.POP.TOTL,3099754,3148096,3193689,3238595,3285599,3335940,3392264,3451947,3504659,3536474,3538171,3505258,3442817,3363108,3283667,3217348,3168221,3133089,3108687,3089022,3069591,3050687,3033978,3017932,3000720,2951776,2957731,2963000,2968000,2972000,2975000,2977000,2977000
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.193211026493461,0.780690671039871,1.27634779469497,1.38574085431692,1.01570808513779,0.301918202997092,-0.607943306347674,-1.30307040749174,-1.22690942840459,-0.0769791457295957,1.81364109347592,3.90201823649442,5.44027196024455,6.06841030624035,5.62599756207299,4.61667471270029,3.51788923269496,2.66957644161067,2.11438565551552,1.96055791309717,2.0550267831539,2.22593013018195,2.22905604655647,2.10935433511798,1.75735286660729,0.453575638777095,0.442121959444383,..,..,..,..,..,..
Aruba,ABW,"Population, total",SP.POP.TOTL,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,105845,106314,107000,107000,108000,108000,108000,109000
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.21894271014757,1.58685256936818,1.66753573306185,1.25054826434538,1.13222184499641,1.36734607483574,1.63898886728063,1.52098662618978,1.63620665679268,1.69256678030677,1.47997801595662,1.27457757809254,1.21339077499647,0.9783366810892,1.05850884158683,1.20801981192904,1.31381929938745,1.11872568961022,1.04223571564164,1.14250518739456,1.19227232344832,1.34835834227145,1.22056378534358,1.23399666342628,1.15935216218033,1.53610551570388,1.51598445404769,..,..,..,..,..,..
Australia,AUS,"Population, total",SP.POP.TOTL,14692000,14927000,15178000,15369000,15544000,15758000,16018400,16263900,16532200,16814400,17065100,17284000,17495000,17667000,17855000,18072000,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,24982688,25364307,25651000,25932000,26207000,26477000,26743000,27006000
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.000105968279182431,0.255018231368981,0.0717170180347239,-0.161600981253917,-0.00629490409206624,0.0469509679089439,0.0635489974692431,0.0632842039083754,0.141570850318539,0.450513899730364,0.762001611316115,0.998418103144403,1.10055228652823,0.824627940995206,0.384869546678302,0.153106260702748,0.135019833748789,0.113316608322994,0.109728368100981,0.194563153264961,0.240466652446524,0.382799394483217,0.49198046425522,0.487133894826838,0.620413127334181,0.487071924768999,0.412539808816785,..,..,..,..,..,..
Austria,AUT,"Population, total",SP.POP.TOTL,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8840521,8877067,8912000,8934000,8947000,8955000,8962000,8973000
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,1.59115176933168,1.59004360161493,1.59127190018195,1.60164378380568,1.62209303868812,1.646524939202,1.66870971596705,1.68032114194848,1.67642097574212,1.65321386332515,0.44966151012017,1.55235272538718,1.51507709398871,1.51915269467542,1.35173009665235,1.15169444694746,1.0098480432984,0.964673773704232,0.949138146647058,0.877598699856844,0.821519963674211,0.774765939386613,0.746173582716985,0.757650955616913,0.875427280482454,0.866316916370841,0.837019639355119,..,..,..,..,..,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,6150733,6249314,6349553,6452069,6557581,6666447,6778624,6893489,7010027,7126881,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,9939771,10023318,10112000,10195000,10270000,10340000,10404000,10464000
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,2.21193678737667,2.22352950630564,2.23104016245216,2.20101054346544,2.12708043960872,2.0043684918688,1.87465239280462,1.76413691660396,1.70365343351125,1.71564193995842,1.76791570378256,1.85028991463588,1.90542672016163,1.87680756219898,1.74693379613489,1.56037912236695,1.34502401693506,1.18320548067795,1.12086024355083,1.18532018452338,1.34739833426183,1.52066712510074,1.65239930745359,1.76199690810294,1.82435129549324,1.01095334432863,0.991335935305563,..,..,..,..,..,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,210591,215326,220184,225084,229923,234578,239017,243271,247451,251733,256223,261008,266029,271069,275846,280184,283978,287358,290597,294062,298051,302618,307660,313129,318894,385640,389482,393000,397000,401000,404000,408000,411000
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.8648602367432,3.87837296324072,3.11312258295126,2.68521918163552,2.68058390314508,2.9526020036676,3.29537807744497,3.51126386282929,3.55048237260409,3.35850055219244,3.03886772135516,2.75032225770795,2.58058597715935,2.47799888922301,2.46339334576322,2.53570642504512,2.62085813841985,2.77199779566644,3.10607769605974,3.65426212961317,4.31530764013975,4.83651206508964,5.25020911989376,5.75670171205647,6.36015952552813,4.92116137205662,4.46923900893373,..,..,..,..,..,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,359888,374120,385950,396454,407225,419428,433480,448971,465198,481087,495931,509760,523086,536210,549583,563697,578666,594931,613700,636541,664611,697545,735146,778708,829844,1569439,1641172,1702000,1748000,1784000,1812000,1838000,1865000
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,2.68574475723552,2.63699496785732,2.61284227275088,2.59943833619558,2.60559976393336,2.62059061126052,2.63499503879291,2.63022281642424,2.5950277675036,2.52338780814687,2.42959901887237,2.32530322602601,2.23302226579227,2.16825965015849,2.1400807378294,2.13449591531258,2.13048473041923,2.11153445588327,2.07734031117598,2.02275106468378,1.95238739042337,1.88628714466314,1.82007022128666,1.73126611842793,1.61519801742418,1.05004464945676,1.0420011284052,..,..,..,..,..,..
Bangladesh,BGD,"Population, total",SP.POP.TOTL,79639491,81767515,83932127,86142495,88416521,90764183,93187603,95671163,98186350,100695497,103171956,105599127,107983704,110350639,112737683,115169930,117649932,120160564,122682815,125189651,127657854,130088702,132478086,134791603,136986432,161356039,163046161,164689000,166303000,167886000,169432000,170937000,172399000
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.414098994701285,0.357530260700131,0.309038836361661,0.277477726327217,0.277884106426376,0.299359298127485,0.328807978809262,0.354088495970923,0.370602904657943,0.377697805509275,0.375893380305817,0.370667606197727,0.373863554310913,0.37512383574191,0.385425437464988,0.400115067520053,0.410504062364169,0.425233622106984,0.427517241134497,0.413126505766492,0.392645061489077,0.362122763667281,0.338874711799065,0.33007547941419,0.347517602791665,0.142439722865012,0.133875829263984,..,..,..,..,..,..
Barbados,BRB,"Population, total",SP.POP.TOTL,252394,253298,254082,254788,255497,256263,257107,258019,258977,259957,260936,261905,262886,263874,264893,265955,267049,268187,269336,270451,271515,272500,273425,274329,275284,286641,287025,287000,288000,288000,288000,289000,289000
Belarus,BLR,Population growth (annual %),SP.POP.GROW,0.613722215515372,0.692401877498625,0.677412012600594,0.683014021783473,0.678380569482227,0.653761443403052,0.67939116352749,0.674806569806003,0.286405805377518,0.295421189743138,0.186649693167965,0.0490604925701611,0.215580681238814,0.22488398624416,-0.117267676880397,-0.323196990602574,-0.334086976751416,-0.424126492658251,-0.475578029027548,-0.420607218355333,-0.471131334643547,-0.512966688341309,-0.636565666436346,-0.699809190918934,-0.682169472243919,-0.155570407004577,-0.175648469687962,..,..,..,..,..,..
Belarus,BLR,"Population, total",SP.POP.TOTL,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9483499,9466856,9459000,9449000,9436000,9420000,9404000,9386000
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.110211165985901,-0.0026371543402261,-0.027176883483947,-0.00794447069062125,-0.00150170778678296,0.029786422643661,0.0356488507832359,0.0852521408125053,0.317926245358661,0.363247985870165,0.298235706313592,0.371593165668169,0.405713495856337,0.390638517826929,0.308197073686726,0.209436838020324,0.1953931762382,0.241991884983082,0.213527650670943,0.229189103029716,0.242517956221334,0.343951157623668,0.448268894821562,0.418641508069053,0.432788248129175,0.455184695275022,0.497584971619203,..,..,..,..,..,..
Belgium,BEL,"Population, total",SP.POP.TOTL,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,11427054,11484055,11525000,11560000,11592000,11622000,11650000,11680000
Belize,BLZ,Population growth (annual %),SP.POP.GROW,1.99684348051422,2.3386423753942,2.63100916217417,2.81287051937245,2.86258867470978,2.81263544760316,2.77874549440739,2.76386643260128,2.66495275523471,2.45034977046953,2.20104244006121,1.88872203657005,1.65835084250549,1.68292460639859,2.03261677309044,2.58577504477462,3.18646543480476,3.63790104170685,3.83559180714354,3.72737253020031,3.42494862967684,3.08477457052164,2.82756386236772,2.6503846391268,2.59352289209667,1.92457576999509,1.88311073570597,..,..,..,..,..,..
Belize,BLZ,"Population, total",SP.POP.TOTL,144155,147566,151500,155822,160347,164921,169568,174320,179028,183469,187552,191128,194324,197622,201680,206963,213664,221580,230244,238988,247315,255063,262378,269425,276504,383071,390353,398000,405000,412000,419000,427000,434000
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.68945203714843,2.73226489430206,2.77736473402571,2.81744908802337,2.85180501764056,2.88525962953107,2.90253932072273,2.92549674603878,2.98865166431779,3.10076556455627,3.23505898317491,3.37715909992662,3.4790026507141,3.50077384575132,3.42606116377536,3.29361363820142,3.14532391063504,3.02837532091409,2.95861322529726,2.95175446957883,2.98399477560651,3.0237802136321,3.04308295807465,3.03967483180195,3.00534210642385,2.73486201301479,2.71510535908362,..,..,..,..,..,..
Benin,BEN,"Population, total",SP.POP.TOTL,3717165,3820128,3927714,4039949,4156819,4278501,4404506,4535263,4672852,4820016,4978496,5149499,5331803,5521763,5714220,5905558,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,11485048,11801151,12123000,12451000,12785000,13124000,13470000,13822000
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,1.61710037174723,0.695079568319001,0.72479564032697,0.867463795559886,0.881458966565352,0.841855271786329,0.850645013884477,0.813844062598035,0.860861899082099,0.846658782799459,0.824255196206725,-0.51410848531841,-0.721776994629031,0.537588531444655,0.695976913936525,0.718138907619692,0.641047099387393,0.612017495717554,0.737226639337485,0.561180119127713,0.894182915884811,1.08518105218895,0.652758223473704,0.656472533062069,0.655349388077386,0.0735835172921417,-0.00312891113892766,..,..,..,..,..,..
Bermuda,BMU,"Population, total",SP.POP.TOTL,54670,55050,55449,55930,56423,56898,57382,57849,58347,58841,59326,59021,58595,58910,59320,59746,60129,60497,60943,61285,61833,62504,62912,63325,63740,63920,63918,..,..,..,..,..,..
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,2.91266989910183,2.7240934548933,2.55561134268706,2.50670386685359,2.61521156908494,2.7935448530469,3.05997205021871,3.21095124425661,3.03414611494271,2.45020830565208,1.63823972454919,0.718582152636053,-0.021699521573281,-0.359850151038253,-0.131330145048829,0.510635257911967,1.27222149261433,1.87423042793246,2.27017345490203,2.36454972147059,2.24835846469848,2.11264439806097,2.02981901354721,1.90075802873659,1.73311334198474,1.17684339517943,1.14638227394932,..,..,..,..,..,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,406875,418111,428934,439822,451476,464266,478692,494312,509540,522179,530804,534632,534516,532596,531897,534620,541465,551709,564377,577881,591021,603640,616018,627839,638815,754394,763092,772000,780000,788000,796000,803000,811000
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,2.12853956433717,2.07794437506267,2.03715685709687,2.01698225912439,2.02415650461334,2.04913614722616,2.07669016495242,2.09702491348084,2.11141208310574,2.11719027639933,2.11589602696334,2.11319312288035,2.10935094494176,2.09946103221047,2.08325150321767,2.06175570920278,2.03789710287625,2.01309550528315,1.98710322970102,1.96052134579834,1.93343126038957,1.90576711770633,1.8770803408088,1.84732266496624,1.81609723601299,1.42189948560338,1.39909836758217,..,..,..,..,..,..
Bolivia,BOL,"Population, total",SP.POP.TOTL,5579935,5697096,5814345,5932810,6054123,6179460,6309130,6442831,6580312,6721115,6864842,7011453,7160920,7312850,7466793,7622338,7779267,7937458,8096761,8257066,8418264,8580235,8742814,8905823,9069039,11353142,11513100,11673000,11833000,11993000,12152000,12311000,12468000
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,0.986607549903195,1.01439447672485,1.00650546147707,0.996615073291569,0.985677292765144,0.95060507381614,0.991982804251068,0.978131582828499,0.666195958599764,-0.0363080465568866,-0.989859325944829,-2.1308798728645,-3.1536515321186,-3.72342311483192,-3.55383148438613,-2.76813697606363,-1.70216035046108,-0.75608703372676,-0.046396401992217,0.241170820524466,0.208738982702463,0.115523663224709,0.103128474339771,0.0740803803309684,0.0537045309795402,-0.826854592009436,-0.692206408656095,..,..,..,..,..,..
